event,team_number,match_number,team_alliance,team_position,field_position,auto_high_cubes,auto_mid_cubes,auto_hybrid_cubes,auto_high_cones,auto_mid_cones,auto_hybrid_cones,auto_balance,auto_dock,auto_mobility,teleop_high_cubes,teleop_mid_cubes,teleop_hybrid_cubes,teleop_high_cones,teleop_mid_cones,teleop_hybrid_cones,teleop_shuttle,teleop_defend,end_balance,end_dock,end_park,end_num_on_station,no_show,broke_down,summary_notes,timestamp
Hartsville,281,1,blue,3,Center,2,0,0,0,0,0,FALSE,TRUE,FALSE,2,0,0,2,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,they ended auto without balancing but still on the station,2023-03-24 18:32:24
Hartsville,281,9,red,1,Center,2,0,0,0,0,0,FALSE,TRUE,TRUE,2,0,0,2,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,Reliable but slow moving,2023-03-24 18:25:07
Hartsville,281,12,red,3,Bump,2,0,0,0,0,0,null,null,TRUE,2,0,0,3,0,0,null,null,null,null,TRUE,0,null,null,null,2023-03-24 18:47:54
Hartsville,281,17,blue,2,Bump,2,0,0,0,0,0,FALSE,FALSE,TRUE,2,0,0,3,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,,2023-03-24 18:25:12
Hartsville,281,21,red,3,Center,2,0,0,0,0,0,null,TRUE,TRUE,2,0,0,2,0,2,null,null,TRUE,null,null,2,null,null,Very good with cubes and decent cycle speed,2023-03-24 18:32:35
Hartsville,281,24,red,1,Bump,2,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,0,2,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,Slow but accurate with scoring,2023-03-24 18:41:33
Hartsville,281,30,red,2,Center,2,0,0,0,0,0,null,TRUE,null,0,0,0,3,0,0,null,null,TRUE,null,FALSE,2,null,null,null,2023-03-24 18:26:08
Hartsville,281,34,blue,2,Bump,2,0,0,0,0,0,null,null,TRUE,0,0,0,2,2,0,null,null,null,null,TRUE,2,null,null,Kept going to place but didnt make it,2023-03-24 18:40:27
Hartsville,281,37,blue,2,Bump,0,0,0,2,0,0,FALSE,FALSE,TRUE,2,0,0,2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-03-24 18:32:43
Hartsville,281,42,red,3,Lane,0,0,0,2,0,0,null,null,TRUE,2,0,0,2,0,2,null,null,TRUE,null,null,2,null,null,null,2023-03-24 18:48:17
Hartsville,342,1,red,1,Bump,2,0,0,0,0,0,FALSE,FALSE,TRUE,2,0,0,3,0,2,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,very fast good with cones,2023-03-24 18:24:52
Hartsville,342,5,blue,2,Center,2,0,0,0,0,0,null,null,TRUE,2,2,0,2,0,0,null,null,TRUE,null,null,2,null,null,Count may be inaccurate. lost focus.,2023-03-24 18:49:13
Hartsville,342,10,red,1,Bump,0,0,0,0,0,0,null,null,null,0,2,0,0,0,0,null,null,null,null,TRUE,2,null,null,Trouble scoring cones,2023-03-24 18:25:07
Hartsville,342,17,blue,1,Lane,2,0,0,0,0,0,FALSE,FALSE,TRUE,0,2,0,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-03-24 18:47:54
Hartsville,342,20,blue,2,Bump,0,0,2,0,0,0,null,null,TRUE,2,0,0,0,2,0,null,null,TRUE,null,null,2,null,null,Grabs really well and moves smoothly,2023-03-24 18:25:12
Hartsville,342,23,red,1,Bump,0,0,0,0,0,0,null,null,FALSE,2,0,2,0,2,0,null,null,TRUE,null,null,3,null,null,null,2023-03-24 18:32:35
Hartsville,342,28,red,3,Center,0,0,0,0,0,0,TRUE,FALSE,null,2,0,0,2,0,0,null,null,TRUE,null,null,2,null,null,null,2023-03-24 18:41:33
Hartsville,343,35,blue,2,Lane,2,0,0,0,0,0,null,null,TRUE,0,0,2,2,0,2,null,null,TRUE,null,null,2,null,null,null,2023-03-24 18:48:09
Hartsville,342,36,red,2,Center,0,0,2,0,0,0,TRUE,null,null,2,0,0,2,0,2,null,null,TRUE,null,null,2,null,null,null,2023-03-24 18:40:18
Hartsville,342,39,blue,3,Center,0,0,2,0,0,0,TRUE,null,null,2,0,0,2,2,0,null,null,null,null,null,0,null,null,Tried to triple balance but slipped,2023-03-24 18:32:56
Hartsville,342,42,blue,2,Center,0,0,2,0,0,0,TRUE,FALSE,FALSE,2,0,2,2,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,,2023-03-24 18:26:33
Hartsville,343,3,red,1,Center,0,0,2,0,0,0,TRUE,null,null,2,2,0,2,2,0,null,null,TRUE,null,null,2,null,null,Very fast with pieces only scorer this match,2023-03-24 18:40:18
