event,team_number,match_number,team_alliance,team_position,field_position,auto_high_cubes,auto_mid_cubes,auto_hybrid_cubes,auto_high_cones,auto_mid_cones,auto_hybrid_cones,auto_balance,auto_dock,auto_mobility,teleop_high_cubes,teleop_mid_cubes,teleop_hybrid_cubes,teleop_high_cones,teleop_mid_cones,teleop_hybrid_cones,teleop_shuttle,teleop_defend,end_balance,end_dock,end_park,end_num_on_station,no_show,broke_down,summary_notes,timestamp
PCH Champs,6023,1,red,2,Center,0,0,1,0,0,0,FALSE,FALSE,TRUE,0,2,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-04-06 17:02:37
PCH Champs,281,1,red,1,Lane,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,1,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-04-06 17:02:28
PCH Champs,4112,1,red,3,Bump,0,0,0,1,0,0,FALSE,FALSE,FALSE,2,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,They stoped moving for some few seconds that's it ,2023-04-06 17:03:21
PCH Champs,4516,1,blue,3,Center,1,0,0,0,0,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-04-06 17:02:32
PCH Champs,4188,1,blue,1,Lane,1,0,0,1,0,0,FALSE,FALSE,TRUE,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,TRUE,,2023-04-06 17:02:53
PCH Champs,343,2,red,2,Center,0,0,0,0,0,0,TRUE,FALSE,TRUE,1,0,3,2,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-04-06 17:09:43
PCH Champs,342,2,red,1,Bump,0,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,2,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,,2023-04-06 17:09:35
PCH Champs,6340,2,blue,3,Lane,1,0,0,1,0,0,FALSE,FALSE,TRUE,0,1,0,3,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-06 17:09:40
PCH Champs,8080,2,blue,1,Bump,1,0,0,1,0,0,FALSE,FALSE,TRUE,1,1,1,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,null,2023-04-06 17:09:42
PCH Champs,832,3,blue,3,Bump,0,0,0,0,0,1,FALSE,FALSE,TRUE,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,TRUE,null,2023-04-06 17:20:42
PCH Champs,7538,3,blue,1,Lane,0,1,0,1,0,0,FALSE,FALSE,TRUE,1,0,1,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-06 17:20:44
